Stress_Level,Sector,Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid
Low,Retail,0,0,8.236.098.933.379.540,25.708.801.060.466.000,0,1,0,0,0,1,0,1,1
Medium,Healthcare,1,1,5.566.074.846.312.960,6.600.961.672.700.740,0,0,0,0,0,0,0,0,1
Medium,Healthcare,1,1,74.937.029.999.141.100,2.490.381.245.411.680,0,0,0,1,0,1,0,1,1
Low,IT,0,1,5.592.866.207.542.330,5.302.456.473.141.150,0,0,1,0,0,1,0,1,1
Medium,Healthcare,1,1,11.181.882.717.108.200,5.035.814.696.363.240,1,0,0,0,1,1,0,1,1
Low,Healthcare,1,1,6.679.337.474.399.760,3.542.701.032.664.650,0,0,1,0,0,0,1,1,1
High,Healthcare,1,1,8.984.966.969.489.240,6.715.067.655.496.670,0,1,1,0,0,1,0,1,1
Medium,IT,1,0,705.865.371.003.564,16.613.555.183.777.000,0,0,1,0,0,0,1,1,1
Medium,Education,1,1,6.769.225.380.474.970,38.804.630.485.316.600,0,0,1,1,0,1,0,1,1
High,Healthcare,1,1,41.794.916.374.378.900,32.664.397.525.892.400,0,0,0,1,0,0,0,1,1
Low,IT,1,1,9.196.349.205.981.130,5.440.889.725.406.270,1,0,1,1,1,1,0,0,1
Medium,Healthcare,1,1,10.598.362.505.258.300,4.530.348.796.562.750,1,0,0,0,0,1,0,1,1
Low,IT,1,1,61.680.648.372.696.900,14.090.572.320.002.600,1,0,1,0,0,0,0,0,1
Low,Healthcare,1,1,4.909.541.770.002.650,5.859.219.165.619.670,0,0,0,0,0,0,0,1,1
Low,Retail,1,1,9.606.632.085.475.650,4.728.192.584.386.850,1,1,1,0,1,0,0,0,1
Medium,Education,1,1,4.707.517.301.787.490,2.446.762.207.055.600,0,1,1,0,0,1,0,0,1
Medium,Retail,0,1,10.439.065.871.896.500,3.475.481.342.820.410,0,1,1,0,0,1,1,1,1
Low,IT,1,1,6.191.209.754.090.750,2.050.172.627.541.870,0,1,0,0,0,1,1,1,1
Medium,Education,0,0,5.793.414.514.350.740,374.374.296.157.528,0,1,0,0,1,1,0,0,1
Medium,Education,1,0,8.496.924.842.262.580,4.225.176.951.039.730,1,1,0,1,1,0,0,1,1
Medium,IT,1,1,5.923.721.429.977.120,34.980.292.620.490.700,1,0,1,1,1,0,0,1,1
Medium,IT,1,0,6.585.777.837.413.580,3.324.303.250.190.710,1,0,1,1,1,0,0,1,1
Medium,Healthcare,1,0,8.707.963.865.342.010,15.808.894.464.232.300,0,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,3.141.775.325.666.700,4.505.862.192.254.810,0,1,0,0,1,0,1,0,1
High,Healthcare,1,1,11.284.838.491.856.600,1.113.318.104.705.570,0,0,0,0,1,1,0,0,1
Medium,Retail,1,1,8.087.280.264.931.470,4.046.619.277.355.890,1,0,1,0,1,0,0,0,1
Medium,IT,1,1,5.414.067.975.192.940,13.012.662.639.513.000,0,1,0,0,1,1,0,1,1
Low,IT,1,1,5.965.509.261.426.310,407.575.733.572.943,0,1,0,0,1,0,0,1,1
Medium,IT,1,1,9.983.292.756.521.600,3.990.821.493.118.370,0,1,0,0,1,1,0,0,1
High,Education,0,1,9.202.105.870.148.200,4.605.017.451.517.810,1,1,0,0,0,1,0,1,1
High,IT,1,1,10.773.561.314.570.400,5.293.428.575.202.380,1,0,1,1,0,1,0,1,1
High,Retail,1,1,66.345.143.103.915.300,5.571.382.633.376.400,0,0,1,0,1,0,0,1,1
Low,Retail,1,1,8.593.167.674.301.600,15.849.361.009.361.000,1,0,1,0,1,1,0,0,1
Low,Retail,0,1,8.853.135.823.567.350,39.126.909.203.003.700,1,1,1,1,1,1,0,1,1
Medium,Education,1,0,9.390.535.000.504.470,7.016.411.326.840.080,1,0,0,0,0,0,0,1,1
High,Healthcare,0,0,1.025.456.224.686.410,4.178.650.852.746.560,1,1,0,0,1,1,1,1,1
Low,Education,1,0,6.565.472.188.311.300,275.297.778.954.803,1,0,0,0,1,0,1,0,1
High,Healthcare,1,1,7.771.659.464.479.030,3.880.448.310.340.990,0,1,0,1,0,0,0,1,1
Medium,Retail,1,0,677.970.050.883.971,3.424.501.089.528.900,1,0,1,0,1,1,1,1,1
High,Healthcare,0,1,7.894.776.253.287.240,2.235.312.764.301.760,1,0,1,0,0,1,0,1,1
Medium,Retail,1,0,939.686.556.412.595,5.303.656.282.310.510,0,0,1,0,1,1,0,1,1
Medium,Retail,1,1,4.691.928.999.478.590,4.876.528.837.413.040,1,0,0,1,0,0,0,0,1
Medium,IT,0,1,1.021.874.313.891.850,19.982.363.918.318.000,0,1,0,0,0,1,0,0,1
High,Education,1,1,5.721.635.751.472.500,3.860.088.124.274.640,1,0,0,1,1,1,0,1,1
High,Healthcare,0,1,7.385.259.360.605.530,3.150.304.526.226.810,0,1,0,0,0,1,0,1,1
High,IT,1,0,10.487.883.849.932.200,15.976.112.282.125.400,1,0,0,0,0,0,0,1,1
Low,Retail,1,1,865.601.943.596.681,1.877.770.813.786.020,0,1,0,0,1,1,0,1,1
Medium,Education,1,0,867.905.989.652.732,21.010.602.642.995.000,0,0,0,0,0,1,0,1,1
High,IT,0,1,5.638.747.909.409.770,39.123.553.698.358.000,0,0,1,0,1,1,0,1,1
Medium,Retail,1,1,5.911.828.128.352.310,3.313.070.499.694.960,0,0,1,0,0,1,0,1,1
Low,Retail,1,0,9.882.512.793.337.830,256.121.805.685.613,1,0,1,1,1,1,0,1,1
High,Retail,1,0,6.821.712.909.031.220,34.121.754.555.685.700,0,1,0,1,0,1,0,1,1
Medium,Education,0,1,7.010.176.253.400.300,5.121.302.457.768.210,0,0,1,0,1,0,0,1,1
Low,Retail,1,1,9.927.902.502.109.420,4.535.044.145.908.080,1,0,0,0,0,1,0,0,1
Medium,Healthcare,0,1,5.900.172.909.260.940,55.028.032.114.328.500,0,0,1,1,1,1,0,1,1
Low,Retail,1,1,8.538.470.265.772.510,36.575.307.029.211.200,0,0,0,0,0,1,1,0,1
Low,Retail,0,1,8.085.814.652.335.380,6.403.835.786.022.460,0,1,0,0,1,1,0,1,1
Medium,IT,1,0,7.994.628.548.273.510,4.522.119.825.547.730,1,0,0,1,1,1,0,1,1
Medium,Healthcare,1,1,6.963.128.736.244.990,32.666.238.649.879.100,1,0,1,0,0,1,0,1,1
High,Healthcare,1,0,6.840.289.637.073.340,4.139.427.714.535.550,1,0,1,1,0,1,0,1,1
High,Education,0,1,5.843.271.672.410.260,2.127.886.071.115.270,1,1,0,0,0,1,0,1,1
High,Healthcare,1,1,8.965.330.052.082.610,3.540.722.295.628.340,1,1,0,1,1,0,1,0,1
Medium,Education,1,0,6.663.701.616.966.520,4.644.961.345.339.910,1,0,0,1,1,1,0,1,1
Medium,Healthcare,1,1,9.937.489.242.334.500,4.917.504.262.147.880,0,0,0,1,0,1,0,1,1
Medium,IT,1,1,75.508.899.168.186.900,3.384.756.665.753.200,0,1,0,0,0,1,0,1,1
Medium,Retail,0,1,5.883.099.021.157.920,8.100.835.641.283.950,0,0,0,1,1,1,0,1,1
Medium,Retail,0,0,7.524.372.235.703.150,3.741.688.385.267.060,0,0,1,1,1,1,1,1,1
Medium,IT,0,0,7.178.285.601.727.050,14.824.089.367.852.700,1,0,0,1,0,1,0,1,1
Medium,Healthcare,1,1,10.018.206.823.456.100,5.819.900.788.012.740,0,0,0,0,0,1,1,1,1
Medium,IT,0,1,7.261.999.621.496.930,4.910.690.955.774.510,1,1,1,0,0,0,1,1,1
Low,Education,1,1,7.447.579.237.599.340,4.347.533.231.432.870,0,0,0,0,1,0,0,0,1
High,Retail,1,0,10.823.093.410.984.800,3.302.618.663.362.330,0,0,1,1,1,0,1,1,1
Medium,Education,1,1,9.016.534.642.926.690,4.590.019.774.039.660,0,0,0,1,0,0,0,0,1
High,Healthcare,1,1,11.325.412.032.006.900,6.428.524.368.996.440,0,0,1,0,1,1,0,1,1
Low,Education,1,1,1.051.809.000.812.780,43.024.494.060.102.100,1,0,0,0,1,1,0,1,1
Medium,IT,1,1,6.225.674.823.274.290,1.794.949.619.783.610,1,0,0,0,1,0,1,1,1
High,Education,0,1,9.979.901.708.800.210,-11.800.311.247.816.400,1,1,0,0,1,1,0,1,1
Medium,IT,1,1,11.050.606.584.149.100,4.576.839.340.957.570,0,0,0,1,1,0,0,1,1
Medium,Retail,0,1,1.106.562.626.464.680,2.521.129.688.109.830,0,0,1,1,0,1,0,1,1
Medium,Healthcare,1,1,9.976.191.967.153.370,3.850.430.923.906.290,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,9.935.045.989.818.350,2.786.383.565.479.900,1,0,0,1,1,1,0,1,1
Medium,Healthcare,1,1,73.946.779.126.489,2.678.636.523.705.100,0,0,1,1,0,0,0,1,1
Medium,IT,0,1,63.252.358.313.008.500,28.520.888.000.705.900,1,0,1,0,1,0,0,1,1
Medium,Retail,1,0,7.295.565.362.205.080,2.987.686.960.125.150,1,1,1,1,0,1,0,1,1
Medium,Retail,1,0,4.670.421.997.134.470,5.164.353.982.724.250,0,0,0,1,1,0,0,1,1
Low,IT,1,1,1.068.559.063.084.340,4.860.465.689.704.870,1,0,0,0,0,1,0,1,1
High,IT,1,0,7.433.414.081.164.570,218.801.676.578.324,1,0,1,0,0,1,0,1,1
Medium,Retail,1,1,1.058.266.145.812.990,23.923.979.104.494.800,0,0,1,0,1,1,0,0,1
Medium,Retail,0,1,55.370.008.455.568.000,4.568.682.856.704.050,1,0,0,0,1,1,0,1,1
Low,Education,1,1,10.165.249.842.004.400,5.578.753.548.153.280,1,1,0,1,0,1,0,1,1
High,Healthcare,1,1,7.010.238.683.641.360,5.555.712.039.871.180,0,0,1,0,1,1,0,1,1
High,Retail,0,0,5.431.261.183.381.650,24.956.367.388.296.500,0,1,0,0,1,1,0,0,1
Medium,IT,0,0,11.254.236.104.319.500,5.483.967.147.850.330,0,0,0,0,0,1,1,1,1
Low,Retail,1,1,10.214.623.338.681.500,1.335.595.548.521.720,1,0,1,1,0,0,0,1,1
High,Retail,1,1,8.423.584.840.371.560,3.695.673.374.484.940,0,0,0,0,0,0,0,1,1
Medium,IT,1,1,8.067.875.770.269.920,4.730.539.663.912.970,0,0,1,0,0,0,0,1,1
High,IT,0,1,8.879.020.037.638.230,881.792.480.437.523,0,0,0,1,0,1,0,1,1
High,Retail,1,1,8.389.257.155.834.820,71.392.853.861.281.900,0,0,0,1,0,1,0,1,1
Medium,Education,0,1,64.154.480.916.570.500,5.990.042.774.464.920,0,0,0,0,1,1,0,1,1
High,IT,0,1,7.175.895.460.430.150,4.970.505.958.540.880,0,0,0,0,0,1,0,1,1
Medium,Retail,0,1,11.921.435.664.077.400,2.552.457.688.652.610,0,0,0,1,0,1,0,0,1
High,Healthcare,1,1,13.344.313.485.256.000,38.978.445.631.343.000,1,0,1,1,1,1,0,1,1
Medium,Healthcare,1,1,11.125.337.010.461.300,5.185.630.254.644.530,1,1,0,1,1,1,0,1,1
Medium,Retail,0,1,8.956.447.880.325.240,23.160.076.495.002.700,0,1,1,0,1,1,0,0,1
High,Healthcare,1,0,732.450.193.459.613,37.292.886.531.429.700,1,0,0,1,0,1,0,1,1
Medium,Education,1,1,6.403.628.212.206.060,5.365.575.774.716.470,0,1,0,0,1,1,0,1,1
High,Healthcare,1,1,6.535.435.179.139.590,17.581.074.973.404.200,1,0,1,0,1,0,0,1,1
High,IT,0,1,6.893.464.682.626.470,4.498.637.066.530.680,0,0,1,1,0,1,0,0,1
Medium,IT,0,1,12.302.328.082.851.500,13.678.455.555.682.200,0,0,0,1,1,1,0,1,1
Low,IT,1,1,11.612.564.592.765.100,258.422.986.663.202,0,1,0,1,1,1,0,0,1
Medium,Healthcare,0,1,9.492.556.779.870.780,32.431.110.914.858.500,0,0,0,0,0,0,1,1,1
Low,Education,0,1,6.078.773.647.174.340,4.770.333.419.078.160,1,0,1,0,1,1,0,0,1
Medium,Healthcare,1,0,9.786.111.853.422.070,29.488.163.462.406.900,0,0,0,1,0,1,0,1,1
Medium,IT,1,1,752.276.594.297.879,4.188.322.586.993.720,0,1,0,0,0,1,0,1,1
High,Retail,1,1,3.693.981.122.711.750,29.691.577.932.876.500,1,1,0,0,1,0,0,0,1
High,Retail,0,0,8.574.201.274.802.510,32.040.748.418.272.700,1,1,0,1,0,0,0,1,1
Medium,IT,0,1,631.617.391.833.189,5.875.992.261.679.220,0,0,1,0,0,1,0,1,1
High,Healthcare,1,1,6.383.893.141.819.920,22.746.577.326.366.400,0,0,0,0,0,0,1,1,1
High,Retail,0,1,7.499.184.012.863.980,51.387.309.609.207.700,1,0,0,1,0,1,0,1,1
Medium,IT,0,1,7.003.354.054.115.170,3.998.404.171.787.520,0,0,0,0,0,1,0,1,1
Low,Healthcare,1,0,7.931.486.361.791.980,3.136.669.466.638.010,1,0,1,1,0,1,1,1,1
Low,Education,0,1,7.835.338.899.965.580,21.737.157.513.848.200,1,0,1,1,0,0,0,1,1
Medium,Education,1,1,4.248.381.814.304.730,2.280.645.539.351.360,0,1,1,1,0,1,0,0,1
Low,Healthcare,0,1,11.040.555.977.765.600,28.920.324.628.630.800,1,0,0,1,1,1,0,1,1
Medium,IT,0,1,603.324.655.410.264,3.774.918.389.168.280,0,0,0,0,0,0,0,0,1
High,Healthcare,1,1,6.095.203.229.739.050,4.905.264.454.234.600,1,0,0,0,1,1,1,1,1
Medium,Retail,0,1,7.342.893.496.419.400,35.496.411.101.164.500,1,0,1,1,0,0,0,0,1
High,Healthcare,1,1,7.783.330.305.261.410,3.650.033.722.176.670,1,0,0,1,0,0,0,1,1
Medium,Retail,1,1,10.917.959.633.663.600,38.740.146.650.165.400,1,1,0,0,1,0,1,0,1
Low,Healthcare,1,1,8.538.846.904.109.800,4.715.166.537.158.090,1,1,0,1,1,1,1,0,1
Medium,IT,1,0,913.293.096.821.907,4.967.204.228.794.760,1,0,0,0,0,0,1,0,1
High,Healthcare,0,1,8.549.072.375.166.560,1.919.551.786.642.220,0,0,0,0,0,1,0,1,1
Low,IT,1,1,8.462.923.164.997.540,35.768.879.353.850.300,1,1,1,1,1,1,1,0,1
Medium,IT,1,1,8.619.459.006.174.010,5.841.106.026.021.880,1,0,1,0,1,0,0,1,1
High,IT,0,1,4.134.531.714.862.120,20.258.200.694.200.600,1,1,1,0,1,1,0,1,1
Medium,IT,0,1,7.500.163.030.320.940,4.111.469.335.673.430,1,1,0,0,1,0,0,1,1
High,Retail,0,1,10.324.522.221.142.300,3.743.733.994.304.820,0,1,0,0,1,1,0,1,1
Medium,Education,1,1,15.884.662.021.613.300,31.499.866.150.950.800,0,0,0,0,0,0,0,1,1
High,Education,1,1,55.913.821.349.209.800,6.386.173.976.565.030,1,0,0,0,0,0,0,1,1
Medium,Healthcare,1,0,8.846.159.920.648.700,4.055.253.713.301.810,1,0,1,0,1,1,1,1,1
Low,Retail,0,1,6.857.906.844.251.310,6.266.717.607.916.470,0,0,0,0,0,1,0,1,1
Medium,Healthcare,1,1,12.095.303.807.793.600,4.008.440.807.866.610,0,1,0,0,1,0,1,1,1
Medium,IT,1,1,5.292.434.478.417.030,4.690.383.833.976.590,0,1,0,0,1,0,0,0,1
High,IT,1,0,924.987.898.063.176,3.134.167.736.609.520,1,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,518.557.780.099.162,31.508.594.870.533.600,1,0,0,0,1,1,0,1,1
High,IT,0,1,7.362.866.663.878.330,461.402.129.537.329,0,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,7.931.373.338.500.380,4.641.546.186.450.380,0,0,1,0,1,0,1,1,1
Medium,Healthcare,0,1,10.139.383.363.479.200,4.896.980.599.887.780,1,0,1,0,0,0,0,0,1
Low,Education,1,0,5.845.666.347.682.940,4.565.017.430.431.860,1,0,1,0,0,0,1,1,1
Low,Healthcare,1,1,932.676.609.769.477,19.953.686.094.938.700,0,0,0,0,1,1,0,1,1
Medium,IT,1,0,8.037.555.446.775.890,27.904.469.849.313.700,1,0,1,0,1,0,0,1,1
High,Healthcare,1,0,8.545.586.772.571.950,52.749.143.292.230.400,0,1,0,0,1,1,0,0,1
Medium,Education,0,1,9.916.665.429.370.280,10.623.019.518.949.900,1,0,0,0,0,1,0,1,1
Medium,Education,1,1,5.434.886.613.989.420,4.438.910.862.258.400,1,0,1,0,0,1,0,0,1
High,IT,1,0,9.621.189.946.297.180,3.832.179.851.396.220,1,1,0,0,0,0,0,1,1
Medium,IT,0,0,68.621.902.938.211.500,5.274.372.801.208.530,1,0,0,1,1,0,0,1,1
Medium,IT,0,1,10.191.746.909.953.600,4.624.931.779.106.130,0,1,0,0,0,1,1,0,1
High,Retail,1,1,866.911.526.907.576,3.004.029.580.437.300,1,0,1,0,1,0,1,0,1
Medium,Retail,0,1,7.580.943.236.965.880,2.935.974.942.547.500,1,0,0,0,0,1,0,0,1
High,IT,1,1,6.819.948.061.818.350,32.158.247.905.046.200,0,0,0,1,1,1,0,0,1
Medium,Retail,1,1,9.646.589.988.710.660,4.870.094.571.055.940,0,0,0,0,1,1,1,1,1
Low,IT,1,1,10.521.903.370.961.800,5.466.794.806.671.320,0,1,0,1,1,0,0,1,1
High,IT,0,1,6.934.296.918.279.630,4.236.069.166.535.590,1,0,0,0,0,1,0,1,1
High,Healthcare,0,1,5.733.986.868.437.200,2.675.448.119.158.940,1,0,0,1,1,1,0,1,1
Medium,IT,1,1,938.842.208.589.045,4.286.252.946.710.880,1,0,1,0,1,0,1,0,1
Medium,Retail,0,1,51.029.381.159.325.900,45.167.466.797.550.500,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,5.388.975.124.834.050,15.065.101.256.069.600,0,0,1,0,0,1,0,1,1
High,Retail,1,0,5.874.599.448.944.200,3.659.700.359.499.050,0,0,1,1,1,1,0,1,1
High,Healthcare,1,1,7.169.099.033.922.500,423.335.553.520.037,0,0,1,0,1,0,0,1,1
Low,Healthcare,0,1,53.273.362.215.691.100,41.319.251.429.127.200,1,0,1,1,1,1,0,1,1
High,Education,1,0,4.122.400.181.236.840,38.166.985.703.260.500,1,0,0,0,1,1,1,1,1
Medium,Education,0,1,5.729.111.611.325.750,21.686.687.202.789.800,0,0,0,0,1,1,0,1,1
Low,Healthcare,0,1,9.284.948.893.145.230,2.397.057.954.030.180,1,0,0,1,1,1,0,1,1
Medium,Healthcare,1,1,54.569.118.557.464.600,19.329.290.158.692.200,1,1,0,0,1,0,0,1,1
Low,IT,1,1,731.946.064.409.166,483.106.835.625.963,0,1,0,0,0,0,0,1,1
High,IT,0,1,11.893.396.924.731.100,3.826.643.737.290.090,1,0,1,1,0,0,0,1,1
Low,IT,0,1,79.016.517.399.458.100,39.223.701.410.609.300,0,0,1,0,0,1,0,1,1
High,IT,1,1,8.685.061.979.459.180,14.417.598.342.326.500,1,0,0,1,0,1,0,1,1
High,Education,1,1,6.107.919.963.496.890,3.949.595.804.108.190,1,1,0,0,1,0,0,1,1
Low,IT,0,0,12.326.949.707.400.200,4.950.455.607.974.020,0,1,0,1,0,1,0,1,1
High,IT,1,0,6.917.411.021.723.140,1.237.240.638.138.580,0,1,1,1,1,1,0,1,1
Medium,Retail,1,1,7.543.790.631.096.960,3.196.890.611.882.540,0,0,1,1,0,1,0,0,1
High,Education,1,0,10.634.117.355.934.700,16.444.763.026.827.900,0,0,0,0,0,1,1,1,1
High,Retail,1,0,76.365.315.102.927.600,33.695.768.879.051.600,0,0,1,0,0,0,0,1,1
Medium,Healthcare,1,0,809.577.756.535.043,26.485.121.536.436.100,1,0,0,1,0,1,0,0,1
High,IT,0,1,7.436.623.358.421.740,4.571.363.250.462.400,1,0,0,1,0,0,0,1,1
Low,Education,1,1,74.503.352.438.855.400,4.253.859.345.139.580,1,0,1,0,1,1,0,1,1
Medium,Retail,1,1,8.741.004.021.656.180,5.937.256.608.451.060,1,1,1,0,0,1,1,0,1
High,Retail,1,1,910.588.637.839.621,39.188.832.260.492.500,1,1,0,1,1,1,0,1,1
Low,Education,1,0,67.135.031.375.748.600,450.773.170.315.641,0,0,0,1,0,1,0,0,1
High,Retail,1,1,6.467.839.087.706.140,31.634.387.775.272.800,1,1,0,0,1,0,0,1,1
High,IT,1,1,6.781.727.822.284.870,23.454.030.231.571.300,0,1,0,0,1,0,0,1,1
Medium,Healthcare,0,1,51.974.919.716.004.600,525.214.365.203.513,0,0,1,0,1,1,0,0,1
Medium,Education,1,1,4.819.139.482.961.400,586.488.258.032.062,1,0,1,0,1,1,0,1,1
Low,Retail,1,1,8.594.334.294.449.810,505.848.354.885.738,1,1,1,0,1,0,0,1,1
Low,Education,1,0,9.877.191.606.350.220,4.196.842.184.694.290,0,0,0,0,0,1,0,1,1
Medium,Education,1,1,9.742.090.586.290.430,25.388.596.682.720.800,0,1,1,0,1,0,0,1,1
High,Healthcare,0,0,32.360.174.537.266.800,5.712.442.260.140.410,0,0,0,0,1,0,0,1,1
Medium,Education,1,1,7.509.869.825.913.470,4.869.263.973.455.510,1,0,1,0,1,0,0,1,1
Medium,Healthcare,1,1,5.795.816.088.814.880,7.037.317.913.994.160,1,0,0,0,0,1,0,1,1
Medium,IT,1,1,8.287.474.875.641.710,22.683.640.746.401.400,1,0,0,0,1,0,0,1,1
Low,Retail,1,0,7.164.352.962.381.230,529.384.975.187.107,1,1,0,0,1,1,0,0,1
High,Retail,0,0,9.183.823.812.489.170,4.823.659.757.312.190,0,0,0,0,0,0,0,1,1
Low,IT,1,1,79.616.938.191.973.100,3.486.959.199.627.910,0,0,1,0,1,1,0,0,1
Medium,Healthcare,1,1,4.207.996.210.164.220,6.045.752.320.304.650,1,1,1,0,0,1,1,0,1
High,IT,1,1,6.065.828.254.400.910,4.603.517.722.636.820,0,1,1,0,0,1,0,1,1
Medium,IT,1,1,8.011.570.229.653.300,2.594.660.457.307.510,0,1,0,0,1,0,0,0,1
Medium,Education,1,1,8.180.220.858.462.170,38.224.914.755.883.800,1,0,1,0,0,1,0,1,1
High,Healthcare,1,1,5.188.646.384.591.990,2.576.711.789.345.330,1,1,0,1,0,1,0,1,1
Medium,Education,0,0,4.927.080.592.907.750,32.972.264.269.217.200,0,0,0,0,0,0,0,1,1
Medium,Retail,1,0,8.112.490.675.146.350,50.557.392.303.096,1,0,0,0,1,1,0,1,1
High,Education,1,1,5.192.665.387.898.940,54.839.110.678.513.200,1,0,1,0,0,1,0,1,1
Low,Retail,1,1,4.662.741.146.998.420,4.331.818.500.684.040,0,0,0,1,1,0,0,0,1
Medium,Healthcare,1,0,7.109.718.974.737.310,2.874.887.685.115.700,1,0,1,1,1,0,0,1,1
High,IT,0,0,7.023.107.817.322.690,45.724.126.305.930.300,1,0,1,0,0,0,0,1,1
High,Education,0,0,6.243.199.045.321.390,5.085.099.456.936.450,1,0,0,1,1,1,1,1,1
Medium,Healthcare,1,1,6.592.526.086.550.070,10.418.323.821.404.200,1,0,1,0,0,1,1,0,1
Low,Healthcare,0,0,8.027.671.446.444.780,4.174.718.162.546.370,1,0,1,0,0,0,0,1,1
Medium,Retail,0,1,6.559.674.192.640.360,37.147.153.024.010.000,1,0,1,1,0,1,0,1,1
High,Education,1,1,814.139.404.332.968,5.430.566.883.114.350,0,1,0,1,1,0,0,1,1
Medium,IT,1,1,7.239.062.927.765.330,4.578.533.747.292.240,0,0,0,0,1,1,0,0,1
Medium,IT,1,0,8.335.300.310.773.310,4.726.527.552.209.170,0,0,0,1,1,0,0,0,1
Medium,Education,0,1,975.641.113.087.329,32.771.335.504.285.500,0,0,0,0,1,1,0,1,1
Medium,Healthcare,0,0,967.849.569.078.119,4.002.477.575.698.650,1,0,1,1,1,1,0,0,1
High,Education,1,1,10.576.420.942.132.100,5.415.527.454.705.830,1,0,0,1,0,0,0,1,1
Medium,Healthcare,0,0,967.629.379.379.432,39.026.804.005.445.800,0,0,0,1,1,0,0,1,1
Medium,Healthcare,1,1,8.477.115.063.083.600,4.262.004.333.597.360,1,1,0,0,0,1,0,0,1
Medium,Education,1,1,713.313.672.471.971,16.960.640.523.369.000,0,1,0,1,1,1,0,1,1
Medium,Retail,1,1,7.224.478.154.367.550,38.971.899.455.091.700,1,1,1,1,0,1,0,1,1
Medium,Education,0,1,624.444.538.712.838,9.820.000.478.408.350,1,0,1,0,1,1,0,0,1
Low,Healthcare,0,1,8.009.058.582.103.110,32.257.826.959.626.100,0,1,1,0,0,0,0,1,1
Medium,IT,0,1,939.477.495.742.387,4.095.273.336.590.340,1,0,0,0,0,1,0,0,1
High,IT,0,1,6.548.664.794.233.950,5.150.546.191.726.850,1,1,1,0,0,0,0,1,1
Medium,IT,0,1,7.925.564.282.672.450,2.501.260.084.822.030,0,1,1,0,1,1,0,0,1
High,Education,1,1,6.645.275.542.556.460,4.560.526.215.205.150,1,0,0,0,1,0,1,1,1
High,Education,1,1,8.418.708.660.375.220,6.202.740.106.543.190,0,0,1,0,1,1,0,1,1
Medium,IT,1,1,69.012.332.321.000.900,30.388.842.014.265.600,0,0,1,0,0,0,0,1,1
Medium,Healthcare,1,1,6.520.978.857.411.890,16.794.206.174.160.100,1,1,0,1,1,0,0,1,1
Medium,Retail,0,0,664.006.661.013.595,4.434.759.935.585.630,1,0,0,0,0,1,0,0,1
Medium,Retail,0,0,9.006.657.547.691.130,2.212.004.490.195.560,0,0,1,0,0,0,0,1,1
High,Education,1,0,780.650.118.933.929,277.150.213.978.972,1,1,1,0,0,0,0,1,1
Low,IT,0,0,7.143.156.539.999.920,5.385.005.412.553.720,1,1,1,0,0,1,1,0,1
Low,Healthcare,1,1,8.522.809.005.094.420,6.815.348.913.065.020,1,1,0,0,1,1,0,1,1
Medium,Education,1,1,7.170.967.565.064.690,24.989.648.254.877.700,0,0,0,0,0,1,0,0,1
Medium,Healthcare,1,1,10.253.035.787.371.400,289.387.038.997.688,1,0,1,1,1,1,1,1,1
High,IT,1,1,6.052.267.692.613.480,3.340.196.556.386.770,1,1,0,0,1,0,1,1,1
Low,IT,1,1,76.260.569.743.654.300,31.782.879.197.118.500,1,0,1,0,1,0,0,1,1
Medium,Healthcare,1,1,5.190.469.556.665.990,6.899.938.770.718.050,0,0,1,1,1,1,0,1,1
Low,Healthcare,1,1,7.306.251.216.219.810,32.041.482.554.683.200,0,1,0,0,0,0,1,0,1
Medium,Healthcare,1,1,464.072.900.458.674,34.183.721.282.108.000,0,1,0,0,1,1,0,1,1
Low,Healthcare,1,0,9.492.633.045.118.250,6.424.266.209.762.230,0,0,0,0,1,1,0,0,1
Medium,Retail,1,1,9.533.007.534.011.150,4.865.014.467.308.950,1,0,0,0,0,1,1,1,1
Medium,Retail,1,1,9.568.340.347.448.950,54.788.488.494.238.600,1,1,0,0,1,1,0,1,1
Low,Healthcare,1,1,8.057.744.960.348.930,2.640.830.690.466.410,0,0,0,0,1,1,0,0,1
Medium,IT,1,1,6.240.259.190.579.810,3.204.730.475.236.390,1,0,1,1,1,1,0,1,1
Medium,Education,1,1,6.399.318.735.928.100,24.404.224.634.815.500,1,1,0,0,0,0,0,0,1
Medium,Retail,0,1,11.060.344.110.441.000,5.201.892.319.053.720,1,0,0,1,1,1,1,1,1
Medium,Healthcare,1,0,10.871.354.207.599.500,5.837.864.811.675.160,0,0,0,1,0,0,1,0,1
High,Healthcare,1,0,8.245.110.313.901.540,31.003.384.462.277.300,0,0,1,0,1,1,0,1,1
Medium,IT,1,1,6.968.731.931.839.340,34.536.380.156.435.800,0,0,0,1,1,0,1,1,1
High,Education,0,1,1.073.724.684.539.700,3.519.264.902.442.010,0,0,0,1,1,1,0,1,1
